id,name,category,rating,comment,userId,createdAt
P00260,Board Game,Games,1,Very boring and overly complicated—nobody enjoyed it.,92kiZtoVxD,2024-12-11
P00260,Board Game,Games,2,"Too many rules, and it takes forever to finish a game.",umjFRRB893,2024-12-04
P00260,Board Game,Games,3,"Fun for a while, but it gets repetitive quickly.",LuVCrkJOKQ,2024-12-06
P00260,Board Game,Games,4,"Engaging and challenging, great for family game nights.",9mCX4BVkbI,2024-12-18
P00260,Board Game,Games,5,Amazing game! Keeps everyone entertained for hours.,08BgCj8kI6,2024-12-08
P00123,Wireless Earbuds,Electronics,1,"Terrible product! Constant connection issues, poor sound quality, and they stopped working after just a week.",A8Q0r3LSro,2024-12-26
P00123,Wireless Earbuds,Electronics,2,"Uncomfortable and unreliable. The sound cuts out constantly, and the battery drains incredibly fast.",Ee8CNIIKRy,2024-12-11
P00123,Wireless Earbuds,Electronics,3,"The sound is decent, but the connectivity could be better.",YUZw9sy20C,2024-12-13
P00456,Organic Coffee Beans,Grocery,4,"Really smooth flavor, nice aroma, and consistent quality.",pELF8ty8v1,2024-12-22
P00456,Organic Coffee Beans,Grocery,5,"Absolutely fantastic coffee! Rich, full-bodied, and perfect every single time.",hcDeBIfRXd,2024-12-22
P00456,Organic Coffee Beans,Grocery,5,Best organic coffee I've ever tried. Worth every penny!,pwkNn8ueCC,2024-12-14
P00789,Cotton T-Shirt,Clothing,1,Fabric feels cheap and ripped after one wash.,yYsibpNaBU,2024-12-04
P00789,Cotton T-Shirt,Clothing,2,"The fit isn’t great, and it fades after a few washes.",r0pgj8uLSa,2024-12-17
P00789,Cotton T-Shirt,Clothing,3,Shrinks easily and doesn’t feel durable.,AYVwLV6wwQ,2024-12-18
P00102,Portable Charger,Electronics,4,Works well as a charger and powers up devices fast.,JeVH0oRA67,2024-12-02
P00102,Portable Charger,Electronics,5,"Compact and powerful, perfect for travel.",2Fl7OulY4b,2024-12-11
P00102,Portable Charger,Electronics,5,"A reliable portable charger, very practical and handy.",x3qoLk51hE,2024-12-07
P00135,Running Shoes,Shoes,4,Comfortable and lightweight for casual runs.,9mL6S4aYk4,2024-12-08
P00135,Running Shoes,Shoes,5,Great running shoes with solid support.,3CWyqdtT82,2024-12-05
P00135,Running Shoes,Shoes,5,"Feels amazing to run in, very comfortable.",knutxysegV,2024-12-04
P00168,Bamboo Cutting Board,Kitchen,1,The cutting board warped after a few uses.,vdCRsWQLDT,2024-12-08
P00168,Bamboo Cutting Board,Kitchen,2,"Not as durable as expected, scratches easily.",H0Ivlfm8Kq,2024-12-23
P00168,Bamboo Cutting Board,Kitchen,3,Gets the job done but could be better.,fAfCIxGOq8,2024-12-20
P00191,Digital Camera,Electronics,4,Takes great pictures and has user-friendly features.,yldPNzTteW,2024-12-22
P00191,Digital Camera,Electronics,5,Exceptional image quality and a great zoom feature.,SMQnCUji7T,2024-12-13
P00191,Digital Camera,Electronics,5,"Love how professional the pictures come out, highly impressed.",0SXLnvyj9l,2024-12-05
P00214,Organic Shampoo,Beauty,1,The shampoo left my hair feeling dry and brittle.,BKXEl9tonE,2024-12-02
P00214,Organic Shampoo,Beauty,2,"Not great for my hair type, left a sticky feeling.",l7bsselgtY,2024-12-11
P00214,Organic Shampoo,Beauty,3,"Expected more for the price, didn’t deliver results.",gaGt0Wi3x2,2024-12-18
P00789,Wireless Mouse,Electronics,4,Smooth tracking and connects seamlessly.,ODEzgPAedB,2024-12-16
P00789,Wireless Mouse,Electronics,5,"Comfortable and precise, works great for long hours.",VwekCnQkUu,2024-12-26
P00789,Wireless Mouse,Electronics,5,"One of the best mice I've used so far, love it.",yLgXituJnT,2024-12-19
P01617,Board Game,Games,2,The rules are a bit complicated to follow.,fcmXwFHOvx,2024-12-16
P01640,Board Game,Games,3,"The game is enjoyable, but it starts feeling repetitive after a while.",3u5SgjWuJE,2024-12-04
