id,name,category,rating,comment,userId,createdAt,sentiment,confidence,sentiment_score
P00123,Wireless Earbuds,Electronics,5,Amazing sound quality! Comfortable fit.,GM8Tv9KcFA,2024-12-11,POSITIVE,0.8675939440727234,1.0
P00456,Organic Coffee Beans,Grocery,5,"Lifesaver! Small and powerful, charges quickly.",uXbpvEYVtX,2024-12-05,POSITIVE,0.7632139325141907,1.0
P00789,Cotton T-Shirt,Clothing,5,Beautiful and durable. Love the sustainable bamboo.,YVCZz4KNua,2024-12-12,POSITIVE,0.874940812587738,1.0
P00102,Portable Charger,Electronics,4,"Smells great, leaves hair feeling clean and soft.",B3TbF6hoFj,2024-12-15,POSITIVE,0.39060044288635254,1.0
P00135,Running Shoes,Shoes,5,"Easy to use, connects seamlessly to my computer.",5OQVKCnUan,2024-12-07,POSITIVE,0.7569804787635803,1.0
P00168,Bamboo Cutting Board,Kitchen,5,"Fantastic! The sound is crystal clear, and the fit is perfect.",DtsS9yrJmq,2024-12-04,POSITIVE,0.9636184573173523,1.0
P00191,Digital Camera,Electronics,5,"Perfect! Rich flavor, fresh aroma—worth every penny!",QDxZLYAdjK,2024-12-01,POSITIVE,0.9454059600830078,1.0
P00214,Organic Shampoo,Beauty,5,"Excellent running shoes! Perfect fit, great support, and very durable.",aL4vjFWnIU,2024-12-11,POSITIVE,0.9579284191131592,1.0
P00123,Wireless Earbuds,Electronics,5,Beautiful and super sturdy—my favorite kitchen purchase!,KPtx0LMY6K,2024-12-04,POSITIVE,0.9644419550895691,1.0
P00260,Board Game,Games,5,Lovely scent and works well for my hair type.,YMEYSYc15T,2024-12-13,POSITIVE,0.5524688363075256,1.0
P00123,Wireless Earbuds,Electronics,1,"Terrible! The sound keeps cutting out, and the battery life is awful.",wnvUwv8Mre,2024-12-03,NEGATIVE,0.9126855731010437,-1.0
P00123,Wireless Earbuds,Electronics,1,"Poor quality fabric, ripped after one wash.",p5yH6ryolS,2024-12-05,NEGATIVE,0.6018006205558777,-1.0
P00123,Wireless Earbuds,Electronics,2,"The fit is off, and it faded quickly after washing.",bTOamlqSow,2024-12-06,NEGATIVE,0.5189129114151001,-1.0
P00123,Wireless Earbuds,Electronics,1,Stopped working after just one week—total waste of money!,sTDrHNHlMK,2024-12-02,NEGATIVE,0.931006133556366,-1.0
