id,name,category,rating,comment,userId,createdAt,sentiment,confidence,sentiment_score
P00260,Board Game,Games,1,Very boring and overly complicated—nobody enjoyed it.,92kiZtoVxD,2024-12-26 19:16:44,NEGATIVE,0.9996950626373291,-1.0
P00260,Board Game,Games,2,"Too many rules, and it takes forever to finish a game.",umjFRRB893,2024-12-26 23:20:23,NEGATIVE,0.9995749592781067,-1.0
P00260,Board Game,Games,3,"Fun for a while, but it gets repetitive quickly.",LuVCrkJOKQ,2024-12-25 8:49:04,NEGATIVE,0.9995471835136414,-1.0
P00260,Board Game,Games,4,"Engaging and challenging, great for family game nights.",9mCX4BVkbI,2024-12-24 23:26:59,POSITIVE,0.9998835325241089,1.0
P00260,Board Game,Games,5,Amazing game! Keeps everyone entertained for hours.,08BgCj8kI6,2024-12-24 18:10:16,POSITIVE,0.9998860359191895,1.0
P00123,Wireless Earbuds,Electronics,1,"Terrible product! Constant connection issues, poor sound quality, and they stopped working after just a week.",A8Q0r3LSro,2024-12-25 7:33:11,NEGATIVE,0.999798595905304,-1.0
P00123,Wireless Earbuds,Electronics,2,"Uncomfortable and unreliable. The sound cuts out constantly, and the battery drains incredibly fast.",Ee8CNIIKRy,2024-12-26 4:42:29,NEGATIVE,0.9993928670883179,-1.0
P00123,Wireless Earbuds,Electronics,3,Mediocre at best. Connectivity is spotty and the sound quality is disappointing.,YUZw9sy20C,2024-12-24 8:19:45,NEGATIVE,0.9998118281364441,-1.0
P00456,Organic Coffee Beans,Grocery,4,"Really smooth flavor, nice aroma, and consistent quality.",pELF8ty8v1,2024-12-24 13:01:35,POSITIVE,0.9998801946640015,1.0
P00456,Organic Coffee Beans,Grocery,5,"Absolutely fantastic coffee! Rich, full-bodied, and perfect every single time.",hcDeBIfRXd,2024-12-25 22:31:22,POSITIVE,0.9998866319656372,1.0
P00456,Organic Coffee Beans,Grocery,5,Best organic coffee I've ever tried. Worth every penny!,pwkNn8ueCC,2024-12-24 22:14:46,POSITIVE,0.9997736811637878,1.0
P00789,Cotton T-Shirt,Clothing,1,"Horrible quality! Ripped after first wash, fabric is thin and cheap.",yYsibpNaBU,2024-12-25 3:53:40,NEGATIVE,0.9997785687446594,-1.0
P00789,Cotton T-Shirt,Clothing,2,"Terrible fit, fades quickly, and feels uncomfortable.",r0pgj8uLSa,2024-12-26 14:30:56,NEGATIVE,0.9996504783630371,-1.0
P00789,Cotton T-Shirt,Clothing,3,"Poor quality fabric, shrinks easily, not worth the price.",AYVwLV6wwQ,2024-12-24 22:45:56,NEGATIVE,0.9998030066490173,-1.0
P00102,Portable Charger,Electronics,4,"Reliable charger, good battery capacity, charges quickly.",JeVH0oRA67,2024-12-24 2:55:08,POSITIVE,0.9921919703483582,1.0
P00102,Portable Charger,Electronics,5,"Absolutely amazing! Compact, powerful, and works with multiple devices.",2Fl7OulY4b,2024-12-25 16:00:53,POSITIVE,0.9998911619186401,1.0
P00102,Portable Charger,Electronics,5,Best portable charger I've ever owned. Highly recommend!,x3qoLk51hE,2024-12-24 22:45:56,POSITIVE,0.9998499155044556,1.0
P00135,Running Shoes,Shoes,4,"Comfortable and lightweight, good for everyday running.",9mL6S4aYk4,2024-12-26 6:23:24,POSITIVE,0.9997565150260925,1.0
P00135,Running Shoes,Shoes,5,"Excellent running shoes! Perfect fit, great support.",3CWyqdtT82,2024-12-25 22:08:32,POSITIVE,0.999880313873291,1.0
P00135,Running Shoes,Shoes,5,Absolutely fantastic! Feels like running on clouds.,knutxysegV,2024-12-24 3:25:58,POSITIVE,0.9998434782028198,1.0
P00168,Bamboo Cutting Board,Kitchen,1,"Terrible cutting board! Warps immediately, looks cheap.",vdCRsWQLDT,2024-12-26 3:41:34,NEGATIVE,0.9997991919517517,-1.0
